factura_id,fecha,nombre,cliente_id,estado,condicion_pago,fecha_vencimiento,base_imponible,iva_total,total_factura
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
,,,#N/A,,20,20,0,0,0
